u,theta_d,rho,vel
30.8,-9.82E-05,4.70E-05,16.66666667
30.9,-8.48E-05,6.69E-05,16.66666667
31,-7.66E-05,4.08E-05,16.66666667
31.1,-6.58E-05,5.39E-05,16.66666667
31.2,-5.20E-05,6.91E-05,16.66666667
31.3,-4.38E-05,4.11E-05,16.66666667
31.4,-3.37E-05,5.07E-05,16.66666667
31.5,-2.00E-05,6.82E-05,16.66666667
31.6,-9.48E-06,5.28E-05,16.66666667
31.7,-9.47E-07,4.27E-05,16.66666667
31.8,1.26E-05,6.79E-05,16.66666667
31.9,2.33E-05,5.34E-05,16.66666667
32,3.23E-05,4.51E-05,16.66666667
32.1,4.68E-05,7.22E-05,16.66666667
32.2,5.58E-05,4.50E-05,16.66666667
32.3,6.59E-05,5.07E-05,16.66666667
32.4,8.13E-05,7.67E-05,16.66666667
32.5,8.92E-05,3.95E-05,16.66666667
32.6,0.000100648,5.73E-05,16.66666667
32.7,0.000114301,6.83E-05,16.66666667
32.8,0.000123229,4.46E-05,16.66666667
32.9,0.000135941,6.36E-05,16.66666667
33,0.000148535,6.30E-05,16.66666667
33.1,0.000158071,4.77E-05,16.66666667
33.2,0.000170032,5.98E-05,16.66666667
33.3,0.000181973,5.97E-05,16.66666667
33.4,0.000193291,5.66E-05,16.66666667
33.5,0.000205755,6.23E-05,16.66666667
33.6,0.000217492,5.87E-05,16.66666667
33.7,0.000227843,5.18E-05,16.66666667
33.8,0.00024241,7.28E-05,16.66666667
33.9,0.000253631,5.61E-05,16.66666667
34,0.000263596,4.98E-05,16.66666667
34.1,0.000279657,8.03E-05,16.66666667
34.2,0.000289199,4.77E-05,16.66666667
34.3,0.000300986,5.89E-05,16.66666667
34.4,0.000316413,7.71E-05,16.66666667
34.5,0.000324781,4.18E-05,16.66666667
34.6,0.000340023,7.62E-05,16.66666667
34.7,0.000352597,6.29E-05,16.66666667
34.8,0.000362286,4.84E-05,16.66666667
34.9,0.00037953,8.62E-05,16.66666667
35,0.000388463,4.47E-05,16.66666667
35.1,0.000400998,6.27E-05,16.66666667
35.2,0.000416761,7.88E-05,16.66666667
35.3,0.00042595,4.59E-05,16.66666667
35.4,0.000441521,7.79E-05,16.66666667
35.5,0.000454425,6.45E-05,16.66666667
35.6,0.000465295,5.43E-05,16.66666667
35.7,0.000481941,8.32E-05,16.66666667
35.8,0.000492799,5.43E-05,16.66666667
35.9,0.000507381,7.29E-05,16.66666667
36,0.000520859,6.74E-05,16.66666667
36.1,0.000531587,5.36E-05,16.66666667
36.2,0.000548646,8.53E-05,16.66666667
36.3,0.000560918,6.14E-05,16.66666667
36.4,0.000573637,6.36E-05,16.66666667
36.5,0.000589423,7.89E-05,16.66666667
36.6,0.000601114,5.85E-05,16.66666667
36.7,0.000617048,7.97E-05,16.66666667
36.8,0.000630236,6.59E-05,16.66666667
36.9,0.000642247,6.01E-05,16.66666667
37,0.000659668,8.71E-05,16.66666667
37.1,0.000671111,5.72E-05,16.66666667
37.2,0.000685802,7.35E-05,16.66666667
37.3,0.00070072,7.46E-05,16.66666667
37.4,0.000712756,6.02E-05,16.66666667
37.5,0.000730038,8.64E-05,16.66666667
37.6,0.000742142,6.05E-05,16.66666667
37.7,0.000755987,6.92E-05,16.66666667
37.8,0.000771022,7.52E-05,16.66666667
37.9,0.000783589,6.28E-05,16.66666667
38,0.000799471,7.94E-05,16.66666667
38.1,0.000811863,6.20E-05,16.66666667
38.2,0.000827649,7.89E-05,16.66666667
38.3,0.000842515,7.43E-05,16.66666667
38.4,0.000855186,6.34E-05,16.66666667
38.5,0.000872367,8.59E-05,16.66666667
38.6,0.000885303,6.47E-05,16.66666667
38.7,0.000901239,7.97E-05,16.66666667
38.8,0.000915405,7.08E-05,16.66666667
38.9,0.000927871,6.23E-05,16.66666667
39,0.000947467,9.80E-05,16.66666667
39.1,0.000960644,6.59E-05,16.66666667
39.2,0.000977038,8.20E-05,16.66666667
39.3,0.000991639,7.30E-05,16.66666667
39.4,0.001005631,7.00E-05,16.66666667
39.5,0.001024522,9.45E-05,16.66666667
39.6,0.001038634,7.06E-05,16.66666667
39.7,0.001058025,9.70E-05,16.66666667
39.8,0.00107177,6.87E-05,16.66666667
39.9,0.001087593,7.91E-05,16.66666667
40,0.001106398,9.40E-05,16.66666667
40.1,0.001120092,6.85E-05,16.66666667
40.2,0.001140918,0.000104128,16.66666667
40.3,0.001155531,7.31E-05,16.66666667
40.4,0.001176025,0.00010247,16.66666667
40.5,0.001193347,8.66E-05,16.66666667
40.6,0.001208278,7.47E-05,16.66666667
40.7,0.001232705,0.000122134,16.66666667
40.8,0.001246134,6.71E-05,16.66666667
40.9,0.001268915,0.000113907,16.66666667
41,0.001285313,8.20E-05,16.66666667
41.1,0.001303063,8.88E-05,16.66666667
41.2,0.001326273,0.00011605,16.66666667
41.3,0.001340544,7.14E-05,16.66666667
41.4,0.001365772,0.000126139,16.66666667
41.5,0.001380411,7.32E-05,16.66666667
41.6,0.001399923,9.76E-05,16.66666667
41.7,0.001421076,0.000105764,16.66666667
41.8,0.001437209,8.07E-05,16.66666667
41.9,0.001462282,0.000125365,16.66666667
42,0.00147675,7.23E-05,16.66666667
42.1,0.00150024,0.000117447,16.66666667
42.2,0.001518876,9.32E-05,16.66666667
42.3,0.001537172,9.15E-05,16.66666667
42.4,0.001561912,0.000123703,16.66666667
42.5,0.001576207,7.15E-05,16.66666667
42.6,0.001601689,0.000127411,16.66666667
42.7,0.00161981,9.06E-05,16.66666667
42.8,0.001640797,0.000104933,16.66666667
42.9,0.001663222,0.000112126,16.66666667
43,0.001679322,8.05E-05,16.66666667
43.1,0.001704221,0.000124496,16.66666667
43.2,0.001721559,8.67E-05,16.66666667
43.3,0.001745506,0.000119738,16.66666667
43.4,0.001766092,0.00010293,16.66666667
43.5,0.001784454,9.18E-05,16.66666667
43.6,0.001809058,0.000123019,16.66666667
43.7,0.001826366,8.65E-05,16.66666667
43.8,0.00185157,0.000126019,16.66666667
43.9,0.001871407,9.92E-05,16.66666667
