u,theta_d,rho,vel
4.20015631,0.000111944,-1.85E-04,16.66666667
4.30015631,7.49E-05,-1.90E-04,16.66666667
4.40015631,3.69E-05,-1.95E-04,16.66666667
4.500156311,-2.03E-06,-0.000201266,16.66666667
4.600156311,-4.23E-05,-0.000205472,16.66666667
4.700156311,-8.34E-05,-0.000209434,16.66666667
4.800156311,-0.00012526,-0.000213096,16.66666667
4.900156312,-0.000167879,-0.000216355,16.66666667
5.000156313,-0.00021115,-0.000219139,16.66666667
5.100156315,-0.000254977,-0.000221262,16.66666667
5.200156319,-0.00029923,-0.000222676,16.66666667
5.300156323,-0.000343765,-0.000223455,16.66666667
5.400156329,-0.000388456,-0.000223592,16.66666667
5.500156337,-0.000433174,-0.000223127,16.66666667
5.600156346,-0.0004778,-0.000222108,16.66666667
5.700156357,-0.000522221,-0.00022056,16.66666667
5.800156371,-0.000566333,-0.000218501,16.66666667
5.900156387,-0.000610033,-0.00021589,16.66666667
6.000156406,-0.000653211,-0.000212748,16.66666667
6.100156427,-0.000695761,-0.00020918,16.66666667
6.200156451,-0.000737597,-0.000205344,16.66666667
6.300156478,-0.000778666,-0.000201433,16.66666667
6.400156509,-0.000818953,-0.000197441,16.66666667
6.500156542,-0.000858441,-0.000193308,16.66666667
6.600156579,-0.000897103,-0.000188975,16.66666667
6.700156619,-0.000934898,-0.000184352,16.66666667
6.800156663,-0.000971768,-0.000179399,16.66666667
6.90015671,-0.001007648,-0.000174071,16.66666667
7.000156761,-0.001042462,-1.68E-04,16.66666667
7.100156815,-0.00107614,-1.62E-04,16.66666667
7.200156873,-0.001108614,-1.56E-04,16.66666667
7.300156935,-0.001139818,-1.49E-04,16.66666667
7.400157,-0.001169706,-1.43E-04,16.66666667
7.500157068,-0.001198245,-1.36E-04,16.66666667
7.60015714,-0.001225442,-0.000129353,16.66666667
7.700157215,-0.001251312,-0.00012272,16.66666667
7.800157293,-0.001275856,-1.16E-04,16.66666667
7.900157375,-0.001299072,-1.09E-04,16.66666667
8.000157459,-0.001320955,-1.03E-04,16.66666667
8.100157546,-0.001341491,-9.59E-05,16.66666667
8.200157636,-0.001360661,-8.89E-05,16.66666667
8.300157729,-0.001378448,-8.20E-05,16.66666667
8.400157824,-0.001394841,-7.49E-05,16.66666667
8.500157921,-0.001409828,-6.79E-05,16.66666667
8.60015802,-0.001423399,-6.08E-05,16.66666667
8.700158122,-0.001435565,-5.39E-05,16.66666667
8.800158225,-0.001446349,-4.72E-05,16.66666667
8.900158329,-0.001455798,-4.09E-05,16.66666667
9.000158435,-0.001463982,-3.50E-05,16.66666667
9.100158543,-0.001470977,-2.94E-05,16.66666667
9.200158651,-0.001476848,-2.41E-05,16.66666667
9.30015876,-0.001481659,0.000432235,16.66666667
9.40015887,-0.001395212,-1.68E-05,16.66666667
9.500158967,-0.001398576,-1.23E-05,16.66666667
9.600159065,-0.001401042,-7.87E-06,16.66666667
9.700159163,-0.001402616,-3.64E-06,16.66666667
9.800159261,-0.001403344,2.96E-07,16.66666667
9.90015936,-0.001403284,4.20E-06,16.66666667
10.00015946,-0.001402444,7.38E-06,16.66666667
10.10015956,-0.001400968,1.06E-05,16.66666667
10.20015965,-0.001398854,1.33E-05,16.66666667
10.30015975,-0.001396199,1.57E-05,16.66666667
10.40015985,-0.001393057,1.81E-05,16.66666667
10.50015995,-0.001389444,1.99E-05,16.66666667
10.60016004,-0.001385457,2.17E-05,16.66666667
10.70016014,-0.001381116,2.30E-05,16.66666667
10.80016023,-0.00137651,2.43E-05,16.66666667
10.90016033,-0.001371656,2.57E-05,16.66666667
11.00016042,-0.001366525,2.63E-05,16.66666667
11.10016052,-0.001361273,2.69E-05,16.66666667
11.20016061,-0.001355892,2.74E-05,16.66666667
11.3001607,-0.001350416,2.80E-05,16.66666667
11.40016079,-0.001344814,2.90E-05,16.66666667
11.50016088,-0.001339014,2.97E-05,16.66666667
11.60016097,-0.001333073,3.08E-05,16.66666667
11.70016106,-0.001326923,3.17E-05,16.66666667
11.80016115,-0.001320585,3.25E-05,16.66666667
11.90016124,-0.001314094,3.33E-05,16.66666667
12.00016132,-0.00130743,3.40E-05,16.66666667
12.10016141,-0.001300627,3.49E-05,16.66666667
12.20016149,-0.001293655,3.53E-05,16.66666667
12.30016158,-0.001286596,3.56E-05,16.66666667
12.40016166,-0.00127947,3.64E-05,16.66666667
12.50016174,-0.001272192,3.67E-05,16.66666667
12.60016182,-0.001264845,3.73E-05,16.66666667
12.7001619,-0.001257383,3.77E-05,16.66666667
12.80016198,-0.001249848,3.80E-05,16.66666667
12.90016206,-0.001242247,3.85E-05,16.66666667
13.00016214,-0.00123455,3.90E-05,16.66666667
13.10016221,-0.00122676,-0.000411798,16.66666667
13.20016229,-0.00130912,4.22E-05,16.66666667
13.30016237,-0.001300684,4.25E-05,16.66666667
13.40016246,-0.001292185,4.30E-05,16.66666667
