u,theta_d_modi,rho_filtered,vel
95.9510286,0.19634735,-0.029036672,8.333333333
97.95132625,0.13566617,-0.029024817,8.333333333
99.9499318,0.068101071,-0.025386109,8.333333333
101.94971,0.014824323,-0.019527581,8.333333333
103.9397225,-0.000144214,-0.01324574,8.333333333
105.9397226,0.001266747,-0.006585789,8.333333333
107.9397366,0.003388236,-0.001541482,8.333333333
109.9397707,0.002397989,-6.84E-05,8.333333333
111.9397716,-0.000516749,1.47E-04,8.333333333
113.9397774,-0.000829249,-0.000011492,8.333333333
115.9397774,2.74E-03,-0.000255688,8.333333333
117.9398362,0.003273474,-0.000318153,8.333333333
119.9398388,-0.00015875,-0.000213271,8.333333333
121.9398429,-0.003698215,-1.37E-04,8.333333333
123.9399139,-0.002961965,0.000036564,8.333333333
125.9399139,1.37E-03,0.000332284,8.333333333
127.9399284,0.003638981,-0.001122131,8.333333333
129.9399704,0.003163983,-0.006592553,8.333333333
131.9399765,-0.01493623,-0.016059385,8.333333333
133.9419775,-0.068969324,-0.026856766,8.333333333
135.9445791,-0.159071933,-0.036557981,8.333333333
137.9337563,-0.264469568,-0.044390338,8.333333333
139.9331698,-0.362110327,-0.049316588,8.333333333
141.9407116,-0.458337887,-0.050752174,8.333333333
143.9271952,-0.56151582,-0.050326528,8.333333333
145.9386613,-0.666146281,-0.050441059,8.333333333
147.9249894,-0.767153792,-0.050874442,8.333333333
149.9219519,-0.865927972,-0.050236894,8.333333333
151.9305199,-0.966716475,-0.049827066,8.333333333
153.9238814,-1.063442732,-0.050369185,8.333333333
155.9255634,-1.163917329,-0.050375184,8.333333333
157.9195514,-1.270514757,-0.049443333,8.333333333
159.9155859,-1.369065168,-0.049306714,8.333333333
161.9139484,-1.460415011,-0.049543727,8.333333333
163.9124109,-1.555779989,-0.048983561,8.333333333
165.9088654,-1.658591786,-0.04919072,8.333333333
167.9062859,-1.759740187,-0.05011271,8.333333333
169.9043604,-1.860386828,-0.050314672,8.333333333
171.9016549,-1.961028965,-0.049714624,8.333333333
173.9045769,-2.058381921,-0.049812149,8.333333333
175.8953894,-2.155016114,-0.05019144,8.333333333
177.8908614,-2.257161017,-0.050000514,8.333333333
179.8913994,-2.361694932,-0.050295,8.333333333
181.8898939,-2.460230524,-0.050568894,8.333333333
183.8833244,-2.560718543,-0.049881039,8.333333333
185.8908349,-2.660361105,-0.04914659,8.333333333
187.8800069,-2.755631675,-0.04928446,8.333333333
189.8871694,-2.852856576,-0.048742112,8.333333333
191.8808339,-2.952767646,-0.045685735,8.333333333
193.8791219,-3.047861493,-0.039272626,8.333333333
195.8839239,-3.117112234,-0.029526255,8.333333333
197.8839239,-3.148342244,-0.018640124,8.333333333
199.8842884,-3.148092244,-0.009287152,8.333333333
201.8842889,-3.139342665,-0.002272817,8.333333333
203.8843209,-3.140842662,0.000900047,8.333333333
205.8843334,-3.139842687,-0.000524398,8.333333333
207.8844054,-3.139342689,-0.00608678,8.333333333
209.8844099,-3.153340879,-0.014669131,8.333333333
211.8853779,-3.2001853,-0.02367782,8.333333333
213.8834779,-3.287394177,-0.03465753,8.333333333
