u,theta_d,rho,vel
211.5,0,0,5.555555556
212,0,0,5.555555556
212.5,0,0,5.555555556
213,0,0,5.555555556
213.5,0,0,5.555555556
214,0,0,5.555555556
214.5,0,0,5.555555556
215,0,0,5.555555556
215.5,0,0,5.555555556
216,0,0,5.555555556
216.5,0,0,5.555555556
217,0,0,5.555555556
217.5,0,0,5.555555556
218,0,0,5.555555556
218.5,0,0,5.555555556
219,0,0,5.555555556
219.5,0,0,5.555555556
220,0,0,5.555555556
220.5,0,0,5.555555556
221,0,0,5.555555556
221.5,0,0,5.555555556
222,0,0,5.555555556
222.5,0,0,5.555555556
223,0,0,5.555555556
223.5,0,0,5.555555556
224,0,0,5.555555556
224.5,0,0,5.555555556
225,0,0,5.555555556
225.5,0,0,5.555555556
226,0,0,5.555555556
226.5,0,0,5.555555556
227,0,0,5.555555556
227.5,0,0,5.555555556
228,0,0,5.555555556
228.5,0,0,5.555555556
229,0,0,5.555555556
229.5,0,0,5.555555556
230,0,0,5.555555556
230.5,0,0,5.555555556
231,0,0,5.555555556
231.5,0,0,5.555555556
232,0,0,5.555555556
232.5,0,0,5.555555556
233,0,0,5.555555556
233.5,0,0,5.555555556
234,0,0,5.555555556
234.5,0,0,5.555555556
235,0,0,5.555555556
235.5,0,0,5.555555556
236,0,0,5.555555556
236.5,0,0,5.555555556
237,0,0,5.555555556
237.5,0,0,5.555555556
238,0,0,5.555555556
238.5,0,0,5.555555556
239,0,0,5.555555556
239.5,0,0,5.555555556
240,0,0,5.555555556
240.5,0,0,5.555555556
241,0,0,5.555555556
241.5,0,0,5.555555556
242,0,0,5.555555556
242.5,0,0,5.555555556
243,0,0,5.555555556
243.5,0,0,5.555555556
244,0,0,5.555555556
244.5,0,0,5.555555556
245,0,0,5.555555556
245.5,0,0,5.555555556
246,0,0,5.555555556
246.5,0,0,5.555555556
247,0,0,5.555555556
247.5,0,0,5.555555556
248,0,0,5.555555556
248.5,0,0,5.555555556
249,0,0,5.555555556
249.5,0,0,5.555555556
250,0,0,5.555555556
250.5,0,0,5.555555556
251,0,0,5.555555556
251.5,0,0,5.555555556
252,0,0,5.555555556
252.5,0,0,5.555555556
253,0,0,5.555555556
253.5,0,0,5.555555556
254,0,0,5.555555556
254.5,0,0,5.555555556
255,0,0,5.555555556
255.5,0,0,5.555555556
256,0,0,5.555555556
256.5,0,0,5.555555556
257,0,0,5.555555556
257.5,0,0,5.555555556
258,0,0,5.555555556
258.5,0,0,5.555555556
259,0,0,5.555555556
259.5,0,0,5.555555556
260,0,0,5.555555556
260.5,0,0,5.555555556
261,0,0,5.555555556
261.5,0,0,5.555555556
262,0,0,5.555555556
262.5,0,0,5.555555556
263,0,0,5.555555556
263.5,0,0,5.555555556
264,0,0,5.555555556
264.5,0,0,5.555555556
265,0,0,5.555555556
265.5,0,0,5.555555556
266,0,0,5.555555556
266.5,0,0,5.555555556
267,0,0,5.555555556
267.5,0,0,5.555555556
268,0,0,5.555555556
268.5,0,0,5.555555556
269,0,0,5.555555556
269.5,0,0,5.555555556
270,0,0,5.555555556
270.5,0,0,5.555555556
271,0,0,5.555555556
271.5,0,0,5.555555556
272,0,0,5.555555556
272.5,0,0,5.555555556
273,0,0,5.555555556
273.5,0,0,5.555555556
274,0,0,5.555555556
274.5,0,0,5.555555556
275,0,0,5.555555556
275.5,0,0,5.555555556
276,0,0,5.555555556
276.5,0,0,5.555555556
277,0,0,5.555555556
277.5,0,0,5.555555556
278,0,0,5.555555556
278.5,0,0,5.555555556
279,0,0,5.555555556
279.5,0,0,5.555555556
280,0,0,5.555555556
280.5,0,0,5.555555556
281,0,0,5.555555556
281.5,0,0,5.555555556
282,0,0,5.555555556
282.5,0,0,5.555555556
283,0,0,5.555555556
283.5,0,0,5.555555556
284,0,0,5.555555556
284.5,0,0,5.555555556
285,0,0,5.555555556
285.5,0,0,5.555555556
286,0,0,5.555555556
286.5,0,0,5.555555556
287,0,0,5.555555556
287.5,0,0,5.555555556
288,0,0,5.555555556
288.5,0,0,5.555555556
289,0,0,5.555555556
289.5,0,0,5.555555556
290,0,0,5.555555556
290.5,0,0,5.555555556
291,0,0,5.555555556
291.5,0,0,5.555555556
292,0,0,5.555555556
292.5,0,0,5.555555556
293,0,0,5.555555556
293.5,0,0,5.555555556
294,0,0,5.555555556
294.5,0,0,5.555555556
295,0,0,5.555555556
295.5,0,0,5.555555556
296,0,0,5.555555556
296.5,0,0,5.555555556
297,0,0,5.555555556
297.5,0,0,5.555555556
298,0,0,5.555555556
298.5,0,0,5.555555556
299,0,0,5.555555556
299.5,0,0,5.555555556
300,0,0,5.555555556
